City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Yeppoon,AU,20,1582761363,66,-23.13,150.73,84.2,2.24
Ibrā’,OM,0,1582761363,57,22.69,58.53,68.63,3.36
Jiangyin,CN,3,1582761364,72,31.93,120.31,51.01,9.93
Peace River,CA,75,1582761105,69,56.25,-117.29,33.8,8.05
Manggar,ID,100,1582761122,80,-2.88,108.27,81.84,15.01
Bara,NG,1,1582761364,22,10.37,10.73,71.89,6.4
Norman Wells,CA,75,1582761364,70,65.28,-126.83,-4.0,3.36
Cabinda,AO,100,1582761364,78,-5.55,12.2,82.11,7.36
Vryheid,ZA,0,1582761364,81,-27.77,30.79,61.57,3.62
Galt,US,1,1582761296,35,38.25,-121.3,78.01,1.9
Novoagansk,RU,100,1582761365,82,61.94,76.66,16.68,19.13
Paamiut,GL,1,1582761365,57,61.99,-49.67,0.36,6.98
Hay River,CA,90,1582761365,71,60.82,-115.8,8.6,2.24
Pinotepa Nacional,MX,2,1582761365,56,16.32,-98.02,78.03,7.61
Half Moon Bay,US,20,1582761365,34,37.46,-122.43,78.01,5.82
Esim,GH,33,1582761365,92,4.87,-2.24,78.75,1.81
Allonnes,FR,99,1582761366,86,47.97,0.16,44.01,2.24
Qui Nhon,VN,77,1582761366,87,13.77,109.23,69.44,2.8
Karpathos,GR,98,1582761366,82,35.51,27.21,60.8,17.22
Mahon,ES,90,1582761366,76,39.89,4.27,51.8,6.93
Pishin,PK,0,1582761366,49,30.58,67.0,52.79,0.96
Touros,BR,40,1582761366,78,-5.2,-35.46,82.4,6.93
Houma,US,1,1582761309,61,29.6,-90.72,55.99,13.87
Iquique,CL,21,1582761258,57,-20.22,-70.14,77.0,14.99
Masalli,KR,40,1582761367,100,34.8,126.66,39.2,3.36
Trindade,BR,90,1582761367,88,-16.65,-49.49,75.2,5.82
Coruripe,BR,92,1582761367,80,-10.13,-36.18,81.32,11.34
Papara,BR,96,1582761367,78,-3.98,-38.73,82.99,5.82
Rossland,CA,100,1582761367,92,49.08,-117.8,33.19,2.24
Samarai,PG,68,1582761367,59,-10.62,150.67,87.46,2.64
Polovinnoye,RU,94,1582761367,96,54.79,65.99,26.42,7.05
Wisconsin Rapids,US,90,1582761368,49,44.38,-89.82,28.4,6.93
Bambari,CF,0,1582761368,28,5.77,20.68,74.25,3.04
Jardim,BR,17,1582761368,86,-21.48,-56.14,71.69,3.6
Kieta,PG,100,1582761368,70,-6.22,155.63,83.95,2.73
Portland,US,40,1582761087,54,45.52,-122.68,57.0,3.36
Moose Factory,CA,40,1582761368,84,51.26,-80.61,3.2,5.82
Bariloche,AR,0,1582761368,35,-41.15,-71.31,73.4,14.99
Hargeisa,SO,55,1582761368,95,9.56,44.06,60.6,18.16
Santa Isabel Rio Negro,BR,43,1582761368,81,-0.41,-65.02,79.88,1.99
Morón,AR,0,1582761369,56,-34.65,-58.62,73.4,3.36
Oistins,BB,20,1582761369,73,13.07,-59.53,77.0,8.05
Sørland,NO,100,1582761369,57,67.67,12.69,38.01,27.89
Port Hardy,CA,90,1582761369,87,50.7,-127.42,44.6,10.29
Togur,RU,93,1582761369,93,58.36,82.83,11.95,10.51
Kindu,CD,100,1582761369,89,-2.95,25.95,71.42,1.92
Oktyabr'skoye,RU,3,1582761370,35,43.06,44.74,40.78,5.93
Los Llanos de Aridane,ES,75,1582761370,72,28.66,-17.92,64.4,11.41
Hede,CN,1,1582761370,71,33.77,120.25,41.68,15.12
Porosozero,RU,0,1582761370,95,62.72,32.73,12.31,4.52
Waingapu,ID,77,1582761370,76,-9.66,120.26,84.25,13.87
Milići,BA,90,1582761370,100,44.17,19.09,32.0,17.22
Chapais,CA,75,1582761370,57,49.78,-74.85,17.6,8.05
Coyhaique,CL,75,1582761370,59,-45.58,-72.07,64.4,6.93
Ryōtsu-minato,JP,75,1582761371,63,38.08,138.43,35.6,3.36
Arrondissement de Clermont,FR,51,1582761371,86,49.5,2.42,37.99,11.41
Mogok,MM,50,1582761371,98,22.92,96.5,51.96,2.01
Laguna,US,1,1582761371,35,38.42,-121.42,78.01,2.46
Hirado,JP,75,1582761371,76,33.36,129.55,51.8,11.41
Aripuanã,BR,49,1582761371,95,-9.17,-60.63,76.39,0.69
Mae Hong Son,TH,100,1582761371,57,19.3,97.97,60.82,0.92
Chimbote,PE,16,1582761322,80,-9.09,-78.58,74.05,10.29
Pagudpud,PH,75,1582761372,94,18.56,120.79,71.6,2.24
Broken Hill,AU,0,1582761372,41,-31.95,141.43,60.8,14.99
Tiarei,PF,20,1582761372,66,-17.53,-149.33,87.8,6.93
North Guwāhāti,IN,90,1582761372,93,26.2,91.72,59.0,2.66
Khorixas,NA,11,1582761372,68,-20.37,14.97,69.26,7.63
Banda Aceh,ID,58,1582761372,93,5.56,95.32,73.29,5.17
Lang Son,VN,96,1582761372,89,21.83,106.73,64.17,1.41
Būlaevo,KZ,79,1582761372,89,54.91,70.44,23.4,12.68
Kovrov,RU,92,1582761373,95,56.36,41.32,30.6,4.7
Bathsheba,BB,20,1582761373,73,13.22,-59.52,77.0,8.05
Wodonga,AU,0,1582761373,44,-36.12,146.88,64.0,5.82
Manavālakurichi,IN,20,1582761373,83,8.13,77.3,78.8,3.36
Pekan,MY,20,1582761373,88,3.48,103.4,75.2,2.24
Atherton,GB,79,1582761373,74,53.52,-2.49,39.99,5.82
Meadow Lake,US,1,1582761373,11,34.8,-106.54,48.0,5.82
Petropavlovsk-Kamchatskiy,RU,98,1582761374,62,53.05,158.65,23.0,6.71
Chebarkul',RU,84,1582761374,80,54.97,60.36,24.91,18.9
Leningradskiy,RU,0,1582761374,90,69.38,178.42,-14.39,3.02
Nanortalik,GL,100,1582761374,64,60.14,-45.24,22.28,12.59
Marrakesh,MA,0,1582761249,62,31.63,-8.01,59.0,5.82
Jever,DE,75,1582761374,93,53.58,7.9,37.0,6.93
Khomutovo,RU,100,1582761374,92,52.47,104.4,5.0,2.24
Arrondissement d'Arcachon,FR,90,1582761374,87,44.59,-1.05,48.2,4.7
Swan River,CA,99,1582761375,93,52.11,-101.27,9.81,2.01
Korla,CN,58,1582761375,87,41.76,86.15,27.0,5.99
Kinablangan,PH,89,1582761375,72,7.69,126.55,78.04,5.41
Eureka,US,1,1582761375,76,40.8,-124.16,57.99,13.87
Lenauheim,RO,100,1582761375,93,45.87,20.8,42.01,10.29
Rocha,UY,24,1582761375,81,-34.48,-54.33,55.49,4.07
Padang,ID,68,1582761375,84,-0.95,100.35,70.09,6.2
Nouadhibou,MR,0,1582761376,46,20.93,-17.03,73.4,12.75
Novo Aripuanã,BR,100,1582761376,92,-5.12,-60.38,76.77,1.21
Brainerd,US,90,1582761376,67,46.36,-94.2,23.0,3.36
Savannah Bight,HN,3,1582761376,80,16.45,-85.85,80.94,3.69
Goya,AR,0,1582761376,33,-29.14,-59.26,70.56,6.11
Ishigaki,JP,40,1582761376,88,24.34,124.16,69.8,13.87
Adrasmon,TJ,90,1582761376,93,40.65,69.99,39.2,26.84
Potosí,BO,99,1582761377,92,-19.58,-65.75,46.29,4.85
La Peca,PE,48,1582761377,74,-5.61,-78.44,74.16,5.53
Pisco,PE,55,1582761377,30,-13.7,-76.22,73.0,21.92
Ballina,AU,90,1582761200,83,-28.87,153.57,78.01,8.05
Buraidah,SA,0,1582761377,71,26.33,43.98,53.6,5.82
María Chiquita,PA,40,1582761377,83,9.44,-79.76,81.0,2.24
Faanui,PF,5,1582761377,65,-16.48,-151.75,82.76,4.29
Andenes,NO,100,1582761377,70,69.31,16.12,32.0,8.05
Kharp,RU,100,1582761377,96,66.8,65.81,14.13,9.4
Khani,GE,9,1582761378,37,41.96,42.96,50.0,26.4
Klaksvík,FO,90,1582761378,86,62.23,-6.59,33.8,5.82
Tiznit Province,MA,0,1582761378,36,29.58,-9.5,60.3,1.81
Khovd,MN,0,1582761378,87,48.01,91.64,4.84,1.45
Torrington,US,90,1582761378,81,41.8,-73.12,48.2,4.7
Sfântu Gheorghe,RO,49,1582761378,72,45.87,25.78,43.0,1.99
Olafsvik,IS,81,1582761379,65,64.89,-23.71,26.01,21.79
Vostok,RU,100,1582761379,91,46.49,135.88,11.77,2.37
Kloulklubed,PW,90,1582761379,88,7.04,134.26,80.6,13.87
Marsaxlokk,MT,64,1582761379,82,35.84,14.54,57.0,12.75
Tianpeng,CN,40,1582761379,82,30.99,103.94,60.01,4.47
Barra do Garças,BR,100,1582761379,95,-15.89,-52.26,73.36,1.66
Rio Grande,BR,0,1582761167,60,-32.03,-52.1,68.0,6.93
Santa Cruz de la Sierra,BO,90,1582761171,74,-17.8,-63.17,78.8,10.29
Noumea,NC,75,1582761229,55,-22.28,166.46,87.8,5.82
Kampot,KH,40,1582761380,74,10.62,104.18,80.6,9.17
Honiara,SB,20,1582761380,74,-9.43,159.95,87.8,6.93
Homer,US,75,1582761380,63,59.64,-151.55,30.2,3.36
Taunggyi,MM,80,1582761380,53,20.78,97.03,57.13,4.23
Sesheke,ZM,84,1582761380,100,-17.48,24.3,68.0,2.24
Port Lincoln,AU,0,1582761220,54,-34.73,135.87,63.25,9.08
Mwene-Ditu,CD,97,1582761381,89,-7.0,23.45,68.4,1.63
Mitsamiouli,KM,98,1582761381,78,-11.38,43.28,83.05,10.13
Saint Cloud,US,82,1582761357,73,45.56,-94.16,24.8,5.82
Las Vegas,US,1,1582761296,14,36.17,-115.14,63.0,4.7
Antalaha,MG,100,1582761381,82,-14.9,50.28,80.29,12.17
Alekseyevka,RU,100,1582761381,87,50.63,38.69,36.43,13.42
Opuwo,NA,35,1582761381,66,-18.06,13.84,66.74,3.53
Hamilton,US,90,1582761343,86,39.18,-84.53,32.0,6.93
Vīrarājendrapet,IN,20,1582761382,94,12.2,75.8,78.8,3.36
Mokhsogollokh,RU,100,1582761382,97,61.47,128.92,1.49,2.28
Normandin,CA,75,1582761382,62,48.83,-72.53,21.2,4.7
Akçaabat,TR,5,1582761382,43,41.02,39.57,51.8,5.82
Walvis Bay,NA,0,1582761382,91,-22.96,14.51,66.99,3.0
Lively,CA,90,1582761382,61,46.43,-81.15,16.0,20.8
Port Blair,IN,20,1582761382,94,11.67,92.75,75.2,2.24
Kendari,ID,95,1582761382,86,-3.94,122.5,81.19,2.13
Mahrīz,IR,40,1582761383,87,31.59,54.43,42.8,2.24
Hailey,US,40,1582761383,93,43.52,-114.32,37.0,11.41
Nālūt,LY,1,1582761383,27,30.33,10.85,55.24,6.58
Kurayoshi,JP,40,1582761383,70,35.43,133.82,44.6,18.34
Yārāda,IN,40,1582761383,94,17.65,83.27,73.4,2.24
Melioratorov,RU,90,1582761383,92,57.21,65.61,24.8,8.95
Rodrigues Alves,BR,90,1582761383,83,-7.74,-72.65,80.6,4.7
Mareeba,AU,90,1582761383,74,-17.0,145.43,90.0,4.7
Turukhansk,RU,100,1582761384,91,65.82,87.98,11.17,11.9
Boralday,KZ,90,1582761384,66,43.36,76.86,50.0,22.37
Mahibadhoo,MV,78,1582761384,79,3.78,72.97,80.8,13.47
Sestri Levante,IT,0,1582761384,28,44.27,9.4,48.99,6.93
Iturama,BR,100,1582761384,96,-19.73,-50.2,70.83,3.42
Birao,CF,0,1582761384,16,10.28,22.79,70.07,9.6
Boa Vista,BR,4,1582761286,40,2.82,-60.67,89.6,8.05
Maypangdan,PH,66,1582761385,85,11.65,125.45,78.69,10.6
Lagoa,PT,0,1582761385,89,39.05,-27.98,61.68,15.03
Narodychi,UA,100,1582761385,93,51.2,29.08,42.21,11.74
Jiexiu,CN,100,1582761385,79,37.02,111.91,37.0,3.36
Adré,TD,0,1582761385,17,13.47,22.2,66.06,11.52
Kabinda,CD,3,1582761385,93,-6.13,24.48,68.83,2.37
Biscarrosse,FR,90,1582761385,87,44.39,-1.17,48.2,4.7
Anadyr,RU,75,1582761386,84,64.75,177.48,-2.0,4.47
Tautira,PF,20,1582761386,66,-17.73,-149.15,87.8,6.93
Kerman,IR,0,1582761386,43,30.28,57.08,50.0,9.17
Masaya,NI,20,1582761386,34,11.97,-86.09,93.2,11.41
Raudeberg,NO,94,1582761386,69,61.99,5.14,35.01,20.8
Santa Maria,BR,5,1582761282,49,-29.68,-53.81,65.28,4.54
Batagay-Alyta,RU,73,1582761386,65,67.8,130.41,1.27,6.44
Tonantins,BR,85,1582761387,94,-2.87,-67.8,77.36,2.89
Verkhnevilyuysk,RU,86,1582761387,97,63.45,120.32,-4.94,3.76
Waliso,ET,44,1582761387,66,8.53,37.98,62.64,12.84
Lorengau,PG,3,1582761387,69,-2.02,147.27,84.94,2.93
San Juan,AR,0,1582761387,23,-31.54,-68.54,82.51,7.16
Alice,US,1,1582761387,16,27.75,-98.07,60.8,11.41
Bushehr,IR,0,1582761387,50,28.97,50.84,59.83,6.98
